_id,Id_barrio,Cod_barrio,Cod_comuna,Nombre,Area (ha),Perimetro (m),Estrato_moda
1,101,101,1,Terron Colorado,138.7,7418,2
2,102,102,1,Vista Hermosa,114.89,5603.4,1
3,196,196,1,Sector Patio Bonito,19.84,3445.3,1
4,199,199,1,Aguacatal,110.8,7253.6,1
5,201,201,2,Santa Rita,18.09,2766.9,6
6,202,202,2,Santa Teresita,27.61,4578.5,6
7,203,203,2,Arboledas,39.6,3409.7,6
8,204,204,2,Normandia,27.47,3108.7,6
9,205,205,2,Juanamb·,22.12,2460.9,5
10,206,206,2,Centenario,21.09,2200.3,5
11,207,207,2,Granada,52.36,3893.9,4
12,208,208,2,Versalles,21.96,1956.5,5
13,209,209,2,San Vicente,80.69,3849,4
14,210,210,2,Santa Mónica,62.59,4073.5,5
15,211,211,2,Prados del Norte,95.95,4241.3,5
16,212,212,2,La Flora,73.02,4593.7,5
17,213,213,2,La Campiña,16.92,2802.1,4
18,214,214,2,La Paz,6.47,1337.4,3
19,215,215,2,El Bosque,38.22,2777.5,5
20,216,216,2,Menga,50.72,3049.8,6
21,217,217,2,Ciudad Los Alamos,73.33,3473.7,3
22,218,218,2,Chipichape,25.72,2185.9,5
23,219,219,2,Brisas de Los Alamos,61.09,3582.2,3
24,293,293,2,Urbanización La Merced,36.52,2388,4
25,294,294,2,Vipasa,85,4221.1,4
26,295,295,2,Urbanización La Flora,76.41,3505.5,5
27,296,296,2,Altos de Menga,39.02,3029,1
28,297,297,2,Sector Altos de Normandia - Bataclan,49.74,4588.9,1
29,298,298,2,Area en desarrollo - Parque del Amor,38.39,2543.7,5
30,301,301,3,El Nacional,6.21,1549.9,2
31,302,302,3,El Peñon,16.51,1963.2,5
32,303,303,3,San Antonio,46.04,4248.1,3
33,304,304,3,San Cayetano,22.74,2236.6,3
34,305,305,3,Los Libertadores,18.53,2222.2,3
35,306,306,3,San Juan Bosco,29.95,2774.3,3
36,307,307,3,Santa Rosa,18.98,1862.9,3
37,308,308,3,La Merced,17.26,1791.5,3
38,309,309,3,San Pascual,13.34,1489.4,1
39,310,310,3,El Calvario,19.73,1792.2,3
40,311,311,3,San Pedro,37.04,2676.9,3
41,312,312,3,San Nicolas,85.83,3948.8,2
42,313,313,3,El Hoyo,13.71,1776.9,3
43,314,314,3,El Piloto,14.76,1727.9,2
44,315,315,3,Navarro - La Chanca,9.82,1857.3,3
45,401,401,4,Jorge Isaacs,27.57,2594.8,2
46,402,402,4,Santander,33.85,2911.8,2
47,403,403,4,Porvenir,24.99,2322.7,2
48,404,404,4,Las Delicias,26.73,2232.7,3
49,405,405,4,Manzanares,27.5,2308.7,3
50,406,406,4,Salomia,32.98,2740.6,3
51,407,407,4,Fatima,3.43,789.9,2
52,408,408,4,Sultana - Berlin - San Francisco,12.29,1551,2
53,410,410,4,Popular,6.86,1095.8,3
54,411,411,4,Ignacio Rengifo,7.54,1257.5,3
55,412,412,4,Guillermo Valencia,15.35,2042.5,2
56,413,413,4,La Isla,14.83,2948.9,2
57,414,414,4,Marco Fidel Suárez,3.18,755.8,2
58,415,415,4,Evaristo Garcia,13.22,1464.5,2
59,416,416,4,La Esmeralda,23.38,2539.5,2
60,417,417,4,Bolivariano,17.66,2232.5,2
61,418,418,4,Olaya Herrera,20.35,1934.3,2
62,419,419,4,Unidad Residencial Bueno Madrid,5.25,1087.2,2
63,420,420,4,Flora Industrial,50.12,3078.6,3
64,421,421,4,Calima,44.3,2765.9,3
65,423,423,4,Industria de Licores,5.7,1082.6,10
66,497,497,4,La Alianza,34.75,2761.4,3
67,501,501,5,El Sena,71.46,3930.2,3
68,502,502,5,Los Andes,27.3,2159.1,3
69,503,503,5,Los Guayacanes,45.09,2689.6,3
70,504,504,5,Chiminangos II,20.42,1972.1,3
71,505,505,5,Chiminangos I,10.07,1423.3,3
72,506,506,5,Metropolitano del Norte,37.22,3131.5,3
73,594,594,5,Los Parques - Barranquilla,29.24,2527.6,3
74,595,595,5,Villa del Sol,16.63,1677,4
75,596,596,5,Paseo de Los Almendros,17.62,1682.4,3
76,597,597,5,Los Andes B - La Rivera - El Saman,21.87,2067.4,3
77,598,598,5,Torres de Comfandi,44.39,2683.4,3
78,599,599,5,Villa del Prado - El Guabito,78.64,3913.4,3
79,601,601,6,San Luis,44.59,2693,2
80,602,602,6,Jorge Eliécer Gaitán,79.45,4620.3,2
81,603,603,6,Paso del Comercio,34.76,3104.3,2
82,604,604,6,Los Alcázares,25.78,2067.5,3
83,605,605,6,Petecuy I,18.91,1755.3,2
84,606,606,6,Petecuy II,19.4,1902.9,2
85,607,607,6,La Rivera I,14.83,1975.2,2
86,608,608,6,Los Guaduales,36.56,2576,3
87,609,609,6,Petecuy III,13.2,1490.4,2
88,610,610,6,Ciudadela Floralia,118.18,5614.2,2
89,695,695,6,Fonaviemcali,7.21,1096,3
90,696,696,6,San Luis II,40.47,2892.4,2
91,697,697,6,Urbanización Calimio,24.87,2556,2
92,698,698,6,Sector Puente del Comercio,22.74,1938.1,2
93,701,701,7,Alfonso Lopez I,49.01,2972.6,2
94,702,702,7,Alfonso Lopez II,30.76,2304,3
95,703,703,7,Alfonso Lopez III,57.94,3099.4,3
96,704,704,7,Puerto Nuevo,11.97,1851.9,1
97,1012,1012,10,Pasoancho,7.56,1102.9,4
98,705,705,7,Puerto Mallarino,13.65,1859.5,2
99,706,706,7,Urbanización El Angel del Hogar,20.43,1874.1,2
100,707,707,7,Siete de Agosto,53.07,3168.9,3
101,708,708,7,Los Pinos,11.52,1866,2
102,709,709,7,San Marino,9.88,1297.6,2
103,710,710,7,Las Ceibas,34.4,2898.3,3
104,711,711,7,Base Aerea,169.78,5858.1,10
105,797,797,7,Parque de la Ca±a,20.76,1867.9,3
106,798,798,7,Fepicol,27.79,2452.9,3
107,801,801,8,Primitivo Crespo,26.47,2178.1,2
108,802,802,8,Simón Bolívar,8.92,1330.2,3
109,803,803,8,Saavedra Galindo,26.18,2526.2,2
110,804,804,8,Rafael Uribe Uribe,9.52,1385.6,2
